season,player_id,player_name,position,team,games_played,total_fp,avg_fp,pass_yds,pass_tds,rush_yds,rush_tds,rec_yds,rec_tds,receptions,targets,rush_att,pass_att,ppg,rush_ypg,rec_ypg,targets_pg,team_draft,round,pick,age,early_round,first_round,day1_pick,day2_pick,total_wins,playoff,good_team,good_offense,bad_offense,is_qb,is_rb,is_wr,is_te,target_share,rush_share,yards_per_target,yards_per_carry,games_played_pct,starter_games,fantasy_success,top_performer,injury_risk_score,durability_score,historical_injuries,games_missed_injury,season_ending_injuries,avg_recovery_time,has_recurring_injuries,position_injury_risk,age_adjusted_risk,usage_adjusted_risk,games_played_pct_adj
2013,00-0030443,L.Toilolo,TE,ATL,9,28.5,3.1666667,0.0,0,0.0,0,55.0,2,11,14,0,0,3.1666666666666665,0.0,6.111111111111111,1.5555555555555556,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.0444444444444444,0.0,3.928571428571429,0.0,0.5294117647058824,0,0,0,0.3253466666666667,0.96,2,2,0,3.25,False,0.3,0.3253466666666667,0.3379990370370371,0.5054117647058823
2013,00-0030456,G.Bernard,RB,CIN,17,239.7,14.099999,0.0,0,740.0,5,587.0,3,63,81,182,0,14.099999820484834,43.52941176470589,34.529411764705884,4.764705882352941,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.1361344537815126,0.428235294117647,7.246913580246914,4.065934065934066,1.0,1,1,0,0.49644724705882354,0.84,3,8,0,3.5,True,0.35,0.49644724705882354,0.5886112183363322,0.904
2013,00-0030460,M.Wheaton,WR,PIT,5,12.4,2.48,0.0,0,0.0,0,64.0,0,6,13,0,0,2.4799999237060546,0.0,12.8,2.6,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.0742857142857142,0.0,4.923076923076923,0.0,0.2941176470588235,0,0,0,0.3408,0.72,4,14,1,3.0,True,0.25,0.3408,0.362952,0.12611764705882347
2013,00-0030470,V.McDonald,TE,SF,11,22.2,2.0181818,0.0,0,0.0,0,132.0,0,9,20,0,0,2.01818188753995,0.0,12.0,1.818181818181818,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.0519480519480519,0.0,6.6,0.0,0.6470588235294118,0,0,0,0.315,1.0,0,0,0,0.0,False,0.3,0.315,0.3293181818181818,0.6470588235294118
2013,00-0030472,J.Reed,TE,WAS,9,114.7,12.744444,0.0,0,18.0,0,499.0,3,45,60,1,0,12.744444105360245,2.0,55.44444444444444,6.666666666666667,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.1904761904761905,0.0044444444444444,8.316666666666666,16.77777777777778,0.5294117647058824,0,1,0,0.3763,0.94,1,3,0,3.0,False,0.3,0.3763,0.4390166666666667,0.4934117647058823
2013,00-0030474,J.Boyce,WR,NE,6,21.1,3.5166667,0.0,0,0.0,0,121.0,0,9,19,0,0,3.5166667302449546,0.0,20.166666666666668,3.1666666666666665,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.0904761904761904,0.0,6.368421052631579,0.0,0.3529411764705882,0,0,0,0.2751875,0.98,1,1,0,3.0,False,0.25,0.2751875,0.29697317708333326,0.3409411764705882
2013,00-0030485,E.Lacy,RB,GB,16,253.3,15.83125,0.0,0,1259.0,11,264.0,0,37,47,305,0,15.831250190734863,78.6875,16.5,2.9375,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.0839285714285714,0.7625,5.617021276595745,4.127868852459017,0.9411764705882352,1,1,1,0.5161856,0.88,3,6,0,3.3333333333333335,True,0.35,0.5161856,0.6524585984000001,0.8691764705882352
2013,00-0030496,L.Bell,RB,PIT,13,216.9,16.684614,0.0,0,860.0,8,399.0,0,45,66,244,0,16.68461491511418,66.15384615384616,30.692307692307693,5.076923076923077,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.145054945054945,0.7507692307692307,6.045454545454546,3.5245901639344264,0.7647058823529411,1,1,1,0.6018363076923077,0.72,5,14,1,3.3333333333333335,True,0.35,0.6018363076923077,0.7740540818934911,0.5967058823529411
2013,00-0030514,M.Rivera,TE,LV,16,102.7,6.41875,0.0,0,0.0,0,407.0,4,38,60,0,0,6.418749809265137,0.0,25.4375,3.75,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.1071428571428571,0.0,6.783333333333333,0.0,0.9411764705882352,1,0,0,0.4169812499999999,0.74,4,13,1,3.5,True,0.3,0.4169812499999999,0.4560732421874999,0.7851764705882351
2013,00-0030516,B.Butler,WR,LV,8,19.3,2.4125,0.0,0,0.0,0,103.0,0,9,17,0,0,2.4124999046325684,0.0,12.875,2.125,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.0607142857142857,0.0,6.0588235294117645,0.0,0.4705882352941176,0,0,0,0.37912500000000005,0.56,5,22,1,3.3333333333333335,True,0.25,0.37912500000000005,0.3992660156250001,0.20658823529411757
