policy,replicate,slot,rank,wins,points_for
need_adp,16,4,2,10,1424.1197509765625
season_sim,16,4,2,10,1500.9200439453125
oracle,16,4,7,7,1531.9798583984375
need_adp,17,5,4,7,1395.1199951171875
season_sim,17,5,4,8,1467.2799072265625
oracle,17,5,11,5,1349.8199462890625
need_adp,18,6,7,7,1480.7200927734375
season_sim,18,6,8,6,1394.460205078125
oracle,18,6,2,10,1503.580078125
need_adp,19,7,11,4,1259.659912109375
season_sim,19,7,5,8,1470.66015625
oracle,19,7,12,4,1212.5999755859375
