season,player_id,player_name,position,team,games_played,total_fp,avg_fp,pass_yds,pass_tds,rush_yds,rush_tds,rec_yds,rec_tds,receptions,targets,rush_att,pass_att,ppg,rush_ypg,rec_ypg,targets_pg,team_draft,round,pick,age,early_round,first_round,day1_pick,day2_pick,total_wins,playoff,good_team,good_offense,bad_offense,is_qb,is_rb,is_wr,is_te,target_share,rush_share,yards_per_target,yards_per_carry,games_played_pct,starter_games,fantasy_success,top_performer
2013,00-0030472,J.Reed,TE,WAS,9,114.7,12.744444,0.0,0,18.0,0,499.0,3,45,60,1,0,12.744444105360243,2.0,55.44444444444444,6.666666666666667,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.1904761904761905,0.0044444444444444444,8.316666666666666,16.77777777777778,0.5294117647058824,0,1,0
2013,00-0030474,J.Boyce,WR,NE,6,21.1,3.5166667,0.0,0,0.0,0,121.0,0,9,19,0,0,3.5166667302449546,0.0,20.166666666666668,3.1666666666666665,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.09047619047619047,0.0,6.368421052631579,0.0,0.35294117647058826,0,0,0
2013,00-0030485,E.Lacy,RB,GB,16,253.3,15.83125,0.0,0,1259.0,11,264.0,0,37,47,305,0,15.831250190734863,78.6875,16.5,2.9375,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.08392857142857142,0.7625,5.617021276595745,4.127868852459017,0.9411764705882353,1,1,1
2013,00-0030496,L.Bell,RB,PIT,13,216.9,16.684614,0.0,0,860.0,8,399.0,0,45,66,244,0,16.68461491511418,66.15384615384616,30.692307692307693,5.076923076923077,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.14505494505494504,0.7507692307692307,6.045454545454546,3.5245901639344264,0.7647058823529411,1,1,1
2013,00-0030514,M.Rivera,TE,LV,16,102.7,6.41875,0.0,0,0.0,0,407.0,4,38,60,0,0,6.418749809265137,0.0,25.4375,3.75,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.10714285714285714,0.0,6.783333333333333,0.0,0.9411764705882353,1,0,0
2013,00-0030516,B.Butler,WR,LV,8,19.3,2.4125,0.0,0,0.0,0,103.0,0,9,17,0,0,2.4124999046325684,0.0,12.875,2.125,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.060714285714285714,0.0,6.0588235294117645,0.0,0.47058823529411764,0,0,0
2013,00-0030520,M.Glennon,QB,TB,13,158.02,12.155385,2608.0,19,37.0,0,0.0,0,0,0,27,416,12.155384944035458,2.8461538461538463,0.0,0.0,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,1,0,0,0,0.0,0.08307692307692308,0.0,1.3703703703703705,0.7647058823529411,1,1,0
2013,00-0030521,J.Hunter,WR,TEN,13,77.399994,5.9538455,0.0,0,0.0,0,354.0,4,18,42,0,0,5.953845684344952,0.0,27.23076923076923,3.230769230769231,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.09230769230769231,0.0,8.428571428571429,0.0,0.7647058823529411,1,0,0
2013,00-0030525,T.Austin,WR,LA,13,130.9,10.06923,0.0,0,151.0,1,418.0,4,40,69,9,1,10.069230299729567,11.615384615384615,32.15384615384615,5.3076923076923075,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.15164835164835164,0.027692307692307693,6.057971014492754,16.77777777777778,0.7647058823529411,1,1,0
2013,00-0030526,E.Manuel,QB,BUF,10,133.48,13.348,1972.0,11,186.0,2,0.0,0,0,0,53,306,13.347999572753906,18.6,0.0,0.0,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,1,0,0,0,0.0,0.212,0.0,3.509433962264151,0.5882352941176471,0,1,0
2013,00-0030540,A.Dobson,WR,NE,12,118.2,9.849999,0.0,0,0.0,0,552.0,4,39,75,0,0,9.84999974568685,0.0,46.0,6.25,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.17857142857142858,0.0,7.36,0.0,0.7058823529411765,1,0,0
2013,00-0030542,T.Williams,WR,DAL,15,148.0,9.866667,0.0,0,4.0,0,736.0,5,44,74,3,0,9.866666666666667,0.26666666666666666,49.06666666666667,4.933333333333334,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.14095238095238097,0.008,9.945945945945946,1.3333333333333333,0.8823529411764706,1,0,0
2013,00-0030544,G.Escobar,TE,DAL,9,34.4,3.8222225,0.0,0,0.0,0,134.0,2,9,15,0,0,3.8222223917643228,0.0,14.88888888888889,1.6666666666666667,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.04761904761904762,0.0,8.933333333333334,0.0,0.5294117647058824,0,0,0
2013,00-0030549,T.Eifert,TE,CIN,16,95.5,5.96875,0.0,0,0.0,0,445.0,2,39,60,0,0,5.96875,0.0,27.8125,3.75,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.10714285714285714,0.0,7.416666666666667,0.0,0.9411764705882353,1,0,0
2013,00-0030564,D.Hopkins,WR,HOU,16,142.2,8.8875,0.0,0,0.0,0,802.0,2,52,91,0,0,8.887499809265137,0.0,50.125,5.6875,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.1625,0.0,8.813186813186814,0.0,0.9411764705882353,1,0,0
2013,00-0030565,G.Smith,QB,NYJ,16,194.74,12.17125,3046.0,12,366.0,6,13.0,0,1,1,72,443,12.171250343322754,22.875,0.8125,0.0625,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,1,0,0,0,0.0017857142857142857,0.18,13.0,5.083333333333333,0.9411764705882353,1,1,0
2014,00-0030990,J.Huff,WR,PHI,10,22.5,2.25,0.0,0,7.0,0,98.0,0,8,18,1,0,2.25,0.7,9.8,1.8,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.05142857142857143,0.004,5.444444444444445,7.0,0.5882352941176471,0,0,0
