player_name,position,proj_ppg_2025,VORP,adp_rank
Laviska Shenault Jr.,WR,1.0333333333333334,-10.433333333333334,
Jalin Hyatt,WR,1.02,-10.446666666666667,
Darrynton Evans,RB,0.30000000000000004,-10.458823529411765,
Tyler Scott,WR,1.0,-10.466666666666667,
Robbie Chosen,WR,1.0,-10.466666666666667,
Casey Washington,WR,0.9500000000000001,-10.516666666666667,
British Brooks,RB,0.2,-10.558823529411766,
Joshua Kelley,RB,0.2,-10.558823529411766,
Steven Sims,WR,0.7999999999999999,-10.666666666666666,
Allen Robinson,WR,0.75,-10.716666666666667,
Trenton Irwin,WR,0.75,-10.716666666666667,
Dylan Laube,RB,0.0,-10.758823529411766,177.0
Kene Nwangwu,RB,0.0,-10.758823529411766,
Jamari Thrash,WR,0.6166666666666667,-10.85,1.0
Ramel Keyton,WR,0.6000000000000001,-10.866666666666667,
Collin Johnson,WR,0.55,-10.916666666666666,
Charlie Jones,WR,0.5,-10.966666666666667,
Javon Baker,WR,0.42500000000000004,-11.041666666666666,
Jha'Quan Jackson,WR,0.4,-11.066666666666666,
Kameron Johnson,WR,0.3666666666666667,-11.1,
Brycen Tremayne,WR,0.3,-11.166666666666666,
Skyy Moore,WR,0.0,-11.466666666666667,52.0
Xavier Weaver,WR,0.0,-11.466666666666667,58.0
Tom Kennedy,WR,0.0,-11.466666666666667,
Irvin Charles,WR,0.0,-11.466666666666667,
Justyn Ross,WR,0.0,-11.466666666666667,
Erik Ezukanma,WR,0.0,-11.466666666666667,
Jared Wayne,WR,0.0,-11.466666666666667,
Braxton Berrios,WR,0.0,-11.466666666666667,
Bryce Ford-Wheaton,WR,0.0,-11.466666666666667,
Dareke Young,WR,0.0,-11.466666666666667,
Ihmir Smith-Marsette,WR,0.0,-11.466666666666667,
Jermaine Jackson,WR,-0.1,-11.566666666666666,
Kadarius Toney,WR,-0.2,-11.666666666666666,
Tommy DeVito,QB,6.740000000000001,-12.250666666666664,
Jacoby Brissett,QB,6.605714285714286,-12.384952380952381,
